pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.3742.4	0	0	1.26666666667	0.0	0.0	2.39355905855e-06
PB.7217.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.3711.4	0	1	1.2	0.0	1.88965188833e-06	2.26758226599e-06
PB.4992.1	1	3	3	1.88965188833e-06	5.66895566499e-06	5.66895566499e-06
PB.4534.1	26	45	45	4.91309490966e-05	8.50343349748e-05	8.50343349748e-05
PB.2567.1	2	3	4.0	3.77930377666e-06	5.66895566499e-06	7.55860755332e-06
PB.6038.1	16	20	22.5	3.02344302133e-05	3.77930377666e-05	4.25171674874e-05
PB.6038.2	0	3	5.5	0.0	5.66895566499e-06	1.03930853858e-05
PB.2567.2	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.832.1	4	4	4	7.55860755332e-06	7.55860755332e-06	7.55860755332e-06
PB.5253.1	1	2	4.66666666667	1.88965188833e-06	3.77930377666e-06	8.81837547887e-06
PB.6285.2	8	8	9.0	1.51172151066e-05	1.51172151066e-05	1.7006866995e-05
PB.6285.3	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.5058.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.6285.1	1	1	2.0	1.88965188833e-06	1.88965188833e-06	3.77930377666e-06
PB.6285.4	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.6285.5	0	3	4.5	0.0	5.66895566499e-06	8.50343349748e-06
PB.7207.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.5689.3	1	1	2.5	1.88965188833e-06	1.88965188833e-06	4.72412972082e-06
PB.3806.1	5	5	6.0	9.44825944165e-06	9.44825944165e-06	1.133791133e-05
PB.3806.2	1	1	2.0	1.88965188833e-06	1.88965188833e-06	3.77930377666e-06
PB.3806.3	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.4597.3	0	0	0.916666666667	0.0	0.0	1.73218089764e-06
PB.3951.1	3	5	6.81666666667	5.66895566499e-06	9.44825944165e-06	1.28811270388e-05
PB.4693.4	0	0	0.833333333333	0.0	0.0	1.57470990694e-06
PB.4693.1	44	51	53.3333333333	8.31446830865e-05	9.63722463048e-05	0.000100781434044
PB.4693.3	1	1	1.83333333333	1.88965188833e-06	1.88965188833e-06	3.46436179527e-06
PB.2070.1	40	53	67.5	7.55860755332e-05	0.000100151550081	0.000127551502462
PB.3094.1	0	1	2.48333333333	0.0	1.88965188833e-06	4.69263552268e-06
PB.2070.2	3	3	12.0	5.66895566499e-06	5.66895566499e-06	2.26758226599e-05
PB.5555.2	4	7	7.33333333333	7.55860755332e-06	1.32275632183e-05	1.38574471811e-05
PB.947.1	5	6	6.5	9.44825944165e-06	1.133791133e-05	1.22827372741e-05
PB.947.2	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.4294.4	0	0	7.33333333333	0.0	0.0	1.38574471811e-05
PB.3712.1	17	21	22.5	3.21240821016e-05	3.96826896549e-05	4.25171674874e-05
PB.3712.2	1	1	2.5	1.88965188833e-06	1.88965188833e-06	4.72412972082e-06
PB.4740.1	2	3	3.66666666667	3.77930377666e-06	5.66895566499e-06	6.92872359054e-06
PB.4740.2	4	4	4.66666666667	7.55860755332e-06	7.55860755332e-06	8.81837547887e-06
PB.4740.3	0	0	0.666666666667	0.0	0.0	1.25976792555e-06
PB.2070.5	0	7	17.6666666667	0.0	1.32275632183e-05	3.33838500271e-05
PB.856.2	0	3	4.5	0.0	5.66895566499e-06	8.50343349748e-06
PB.856.1	0	1	2.5	0.0	1.88965188833e-06	4.72412972082e-06
PB.788.1	1	3	3	1.88965188833e-06	5.66895566499e-06	5.66895566499e-06
PB.2577.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.7551.1	25	36	36	4.72412972082e-05	6.80274679798e-05	6.80274679798e-05
PB.2468.1	0	4	5.5	0.0	7.55860755332e-06	1.03930853858e-05
PB.1800.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.7275.1	7	14	14	1.32275632183e-05	2.64551264366e-05	2.64551264366e-05
PB.6211.1	5	12	12	9.44825944165e-06	2.26758226599e-05	2.26758226599e-05
PB.2694.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.3794.1	4	4	4	7.55860755332e-06	7.55860755332e-06	7.55860755332e-06
PB.1442.2	0	0	1.61666666667	0.0	0.0	3.05493721947e-06
PB.791.5	0	0	2.06666666667	0.0	0.0	3.90528056921e-06
PB.674.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.5143.3	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.5143.1	12	18	19.0	2.26758226599e-05	3.40137339899e-05	3.59033858783e-05
PB.3627.1	52	61	67.8333333333	9.82618981931e-05	0.000115268765188	0.000128181386425
PB.7484.2	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.7012.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.3627.2	1	1	5.33333333333	1.88965188833e-06	1.88965188833e-06	1.00781434044e-05
PB.7816.1	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.2756.1	2	2	2.5	3.77930377666e-06	3.77930377666e-06	4.72412972082e-06
PB.7484.1	6	9	9.5	1.133791133e-05	1.7006866995e-05	1.79516929391e-05
PB.654.2	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.1164.1	24	30	30	4.53516453199e-05	5.66895566499e-05	5.66895566499e-05
PB.957.3	0	5	7.5	0.0	9.44825944165e-06	1.41723891625e-05
PB.957.2	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.957.1	25	29	31.5	4.72412972082e-05	5.47999047615e-05	5.95240344824e-05
PB.4768.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.1917.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.4486.1	0	2	2	0.0	3.77930377666e-06	3.77930377666e-06
PB.5038.1	0	1	1.5	0.0	1.88965188833e-06	2.83447783249e-06
PB.5038.2	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.5038.4	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.1465.1	0	5	5	0.0	9.44825944165e-06	9.44825944165e-06
PB.5385.2	43	45	53.1666666667	8.12550311982e-05	8.50343349748e-05	0.000100466492063
PB.2365.1	1	1	4.78333333333	1.88965188833e-06	1.88965188833e-06	9.03883486584e-06
PB.2365.3	0	0	2.08333333333	0.0	0.0	3.93677476735e-06
PB.136.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.7480.4	0	1	1.83333333333	0.0	1.88965188833e-06	3.46436179527e-06
PB.341.1	3	4	4	5.66895566499e-06	7.55860755332e-06	7.55860755332e-06
PB.4455.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.6104.1	1	3	3	1.88965188833e-06	5.66895566499e-06	5.66895566499e-06
PB.5385.1	0	1	8.16666666667	0.0	1.88965188833e-06	1.5432157088e-05
PB.2224.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.6392.1	2	4	4	3.77930377666e-06	7.55860755332e-06	7.55860755332e-06
PB.2992.2	0	1	2.5	0.0	1.88965188833e-06	4.72412972082e-06
PB.2551.2	0	1	2.0	0.0	1.88965188833e-06	3.77930377666e-06
PB.2551.1	1	1	2.0	1.88965188833e-06	1.88965188833e-06	3.77930377666e-06
PB.2716.2	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.1496.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
