pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.6038.2	0	0	2.5	0.0	0.0	6.96644680561e-06
PB.2567.2	5	5	11.5	1.39328936112e-05	1.39328936112e-05	3.20456553058e-05
PB.832.1	0	2	2	0.0	5.57315744448e-06	5.57315744448e-06
PB.6285.2	4	4	4.25	1.1146314889e-05	1.1146314889e-05	1.18429595695e-05
PB.3476.2	0	1	13.7333333333	0.0	2.78657872224e-06	3.82690144521e-05
PB.6285.4	1	1	1.25	2.78657872224e-06	2.78657872224e-06	3.4832234028e-06
PB.6285.5	0	2	2.25	0.0	5.57315744448e-06	6.26980212504e-06
PB.7207.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.5689.3	0	1	3.16666666667	0.0	2.78657872224e-06	8.82416595377e-06
PB.3806.1	5	7	8.5	1.39328936112e-05	1.95060510557e-05	2.36859191391e-05
PB.5689.1	6	11	13.1666666667	1.67194723335e-05	3.06523659447e-05	3.66899531762e-05
PB.3806.3	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.4465.1	0	0	37.3333333333	0.0	0.0	0.000104032272297
PB.4693.4	0	0	0.5	0.0	0.0	1.39328936112e-06
PB.4693.1	15	19	19.5	4.17986808336e-05	5.29449957226e-05	5.43382850837e-05
PB.7550.1	0	1	1	0.0	2.78657872224e-06	2.78657872224e-06
PB.2959.2	1	1	1	2.78657872224e-06	2.78657872224e-06	2.78657872224e-06
PB.2070.2	5	6	25.7166666667	1.39328936112e-05	1.67194723335e-05	7.16615161403e-05
PB.5555.2	3	3	4.91666666667	8.35973616673e-06	8.35973616673e-06	1.37006787177e-05
PB.2084.1	69	102	102	0.000192273931835	0.000284231029669	0.000284231029669
PB.947.2	1	1	2.0	2.78657872224e-06	2.78657872224e-06	5.57315744448e-06
PB.4294.4	4	4	9.66666666667	1.1146314889e-05	1.1146314889e-05	2.69369276483e-05
PB.3712.1	20	23	24.0	5.57315744448e-05	6.40913106116e-05	6.68778893338e-05
PB.3712.2	1	1	2.0	2.78657872224e-06	2.78657872224e-06	5.57315744448e-06
PB.4740.1	1	1	1.66666666667	2.78657872224e-06	2.78657872224e-06	4.6442978704e-06
PB.4740.2	1	1	2.16666666667	2.78657872224e-06	2.78657872224e-06	6.03758723152e-06
PB.5870.2	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.2070.5	0	7	30.9666666667	0.0	1.95060510557e-05	8.62910544321e-05
PB.856.2	0	0	3.0	0.0	0.0	8.35973616673e-06
PB.856.1	0	0	3.0	0.0	0.0	8.35973616673e-06
PB.788.1	2	8	8	5.57315744448e-06	2.22926297779e-05	2.22926297779e-05
PB.7551.1	53	89	90.3333333333	0.000147688672279	0.00024800550628	0.000251720944576
PB.7551.2	1	1	1.33333333333	2.78657872224e-06	2.78657872224e-06	3.71543829632e-06
