NSC	NSC	OLD	OLD
PB.1043.1	866.29	747.43	735.18	738.2
PB.1043.2	833.71	413.57	439.82	323.8
PB.1044.1	16	15	9	8
PB.1045.1	15	14	5	3
PB.1046.1	1217	707	756	877
PB.1047.1	102	84	59	52
PB.1048.1	2375.06	1657.96	1015.87	871.64
PB.1048.2	1524.94	1045.04	538.13	558.36
PB.1049.1	258	113	164.19	99
PB.105.1	848	661	479	392
PB.1050.1	638	418	511	383
PB.1051.1	139998.69	113696.08	98646.55	103113.71
PB.1051.2	661.16	662.02	540.91	585.51
PB.1051.3	315944.76	241393.21	211048.21	223600.08
PB.1052.1	282.86	128.66	118.82	127.6
PB.1052.2	982.65	948.2	546.72	567.14
PB.1052.3	420.48	179.14	224.46	161.26
PB.1053.1	1903	1137	1263	1121
PB.1054.1	5323	2327	7238	6674
PB.1055.1	3127.16	700.13	19171.31	19375.43
PB.1055.2	124.53	41.81	662.4	743.26
PB.1055.3	2667.09	960.53	11276.63	10159.25
PB.1055.4	358.23	106.52	524.66	1003.07
PB.1056.1	3823	1788	1618	1734
PB.1057.1	902	673	343	318
PB.1058.1	955	877	469	409
PB.1059.1	355	131	855	745
PB.106.1	235	339	59	61
PB.1060.1	743.6	528.55	770.32	689.67
PB.1060.2	268.75	204.71	245.65	154.47
PB.1060.3	488.65	385.74	274.03	419.87
PB.1061.1	661	482	306	280
PB.1062.1	6223	20160	11147	10635
PB.1063.1	569	443	638	536
PB.1064.1	1394	826	1231	1003
PB.1065.1	4347.39	2923.69	842.77	748.39
PB.1065.2	1795.61	861.31	346.23	286.61
PB.1066.1	364	301	1326	1419
PB.1067.1	10.29	217.88	63.69	52.79
PB.1068.1	10553.68	8523.1	7233.31	6854.19
PB.1069.1	1280.54	686.88	1162.09	1070.96
PB.1069.2	979.46	593.12	474.91	495.04
PB.107.1	3074	1984	2534	2218
PB.1070.1	7536.62	5907.12	241.53	242.25
PB.1070.2	671.38	395.88	58.47	15.75
PB.1071.1	8286	4533	3151	3288
PB.1072.1	2315	1768	3026	2868
PB.1073.1	283.66	122.11	303.86	297.14
PB.1073.2	2054.34	1633.89	779.14	709.86
PB.1074.1	22799.56	18146.83	10724.6	10624.35
PB.1074.2	3743.44	2118.17	1657.4	1719.65
PB.1075.1	27126.27	9186.8	109346.42	85796.76
PB.1075.2	65.03	24.62	105.67	89.51
PB.1075.3	735.66	197.73	2352.28	2542.67
PB.1075.4	83.04	113.85	1090.63	548.06
PB.1076.1	1277	824	1764	1756
PB.1077.1	286.25	211.21	191.44	144.27
PB.1077.2	9234.75	6567.8	4853.56	4605.73
PB.1078.1	211	292	3130	3551
PB.1079.1	37804	17928	12225	10632.99
PB.108.1	1232	1102	1057	946
PB.1080.1	1072.24	972.25	630.98	528.49
PB.1081.1	1828.76	2075.75	845.02	887.51
PB.1082.1	2094.5	1386.5	1430.55	1327.29
PB.1082.2	365.5	334.5	191.45	160.71
PB.1083.1	1890	1131	1351	1316
PB.1084.1	1975	1691	784	806
PB.1085.1	1621.58	1318.49	872.34	587.18
PB.1085.2	108396	70642.34	23884.88	21369.54
PB.1085.3	12719.26	9402.7	5028.2	4302.28
PB.1085.4	176.57	13.79	179.12	155.7
PB.1085.5	2864.59	2068.68	793.46	1249.29
PB.1086.1	254.07	174.27	111.32	114.78
PB.1086.2	4148.04	2129.34	2321.09	2210.46
PB.1086.3	9534.89	4914.39	3743.59	4169.77
PB.1087.1	441.34	527.06	258.93	249.11
PB.1088.1	23513.46	13078.01	39874.58	38012.71
PB.1088.2	409.44	338.08	568.58	434.21
PB.1088.3	2861.33	836.68	3270.31	2927.06
PB.1088.4	47.44	265.17	206.6	1131.92
PB.1089.1	196.44	106.14	127.05	38.32
PB.1089.2	1403.56	876.86	313.95	338.68
PB.109.1	564.47	355.38	902.47	747.5
PB.109.2	19.53	48.62	78.53	54.51
PB.1090.1	1449	941	730	708
PB.1091.1	58257.31	39703.4	24001.37	26698.97
PB.1091.2	2542.7	1811.6	1475.63	1510.03
PB.1092.1	1422.87	976.29	1110.61	1130.93
PB.1092.2	103.22	115.99	156.89	84.38
PB.1092.3	1607.34	1247.49	1643.34	1515.09
PB.1093.1	5000.98	1939.26	3441.89	3229.51
PB.1093.2	5316.31	2803.06	3668.27	3701.41
PB.1093.3	734.28	511.91	425.99	226.69
PB.1094.1	246	214	458	460
PB.1095.1	649	460	245	276
PB.1096.1	8990.96	4814.82	4021.59	3446.11
PB.1096.2	5317.13	2713.28	2008.33	2045.21
PB.1096.3	727.97	474.27	540.91	404.93
PB.1096.4	1004.94	754.62	81.17	118.75
PB.1097.1	22.62	59.35	75.43	39.75
PB.1097.2	2976.09	1939.07	1756.68	1909.58
PB.1097.3	358.68	419.53	124.09	150.63
PB.1097.4	432.39	199.71	264.06	246.96
PB.1097.5	1439.22	623.34	1133.74	1095.08
PB.1098.1	513	470	282	249
PB.1099.1	6499	4342	8694	8363
PB.11.1	572.37	434.24	393.88	334.79
PB.11.2	373.63	203.76	239.12	225.21
PB.110.1	427.79	442.69	4837.01	4491.57
PB.110.2	44.21	48.31	433.99	406.43
PB.1100.1	782.22	635.61	849.75	648.82
PB.1100.2	918.78	876.39	650.25	783.18
PB.1101.1	170	434	178	172
PB.1102.1	2779	1998	398	534
PB.1103.1	33.69	23.5	16.71	18.13
PB.1103.2	17015.31	10422.5	490.29	493.87
PB.1104.1	934	637	489	444
PB.1105.1	127	82	1399	1213
PB.1106.1	17231.97	10781.97	6518.1	5725.33
PB.1106.2	13.01	39.84	55.94	19.02
PB.1106.3	368.02	400.2	187.97	347.65
PB.1107.1	102.61	67.27	45.59	46.35
PB.1107.2	649.69	322.94	791.42	541.33
PB.1107.3	114.71	190.79	214.99	276.32
PB.1108.1	7012.29	3630.2	4490.11	4548.15
PB.1108.2	567.71	368.8	293.89	374.85
PB.1109.1	431.82	181.17	1092.51	966.38
PB.1109.2	557.96	388.08	1041.93	1071.67
PB.1109.3	42.21	37.75	91.55	44.94
PB.111.1	40868.1	27297.79	18537.11	17034.3
PB.111.2	20030.14	14860.42	10268	7789.86
PB.111.3	190.97	83.95	64.98	50.72
PB.1110.1	753	674	489	388
PB.1111.1	1554	891	901	698
PB.1112.1	9546	6621	9975	8963
PB.1113.1	406.44	524.49	430.43	473.91
PB.1113.2	1315.56	1665.51	1540.58	1177.09
PB.1114.1	218	156	445	400
PB.1115.1	175	132	59	60
PB.1116.1	3034.55	1999.31	3010.92	3057.25
PB.1116.2	2597.45	1757.69	1500.08	1544.75
PB.1117.1	4439.81	2387.77	4009.12	3639.25
PB.1117.2	2058.19	1085.23	717.88	798.75
PB.1118.1	2553.04	1868.85	2258.49	1799.48
PB.1118.2	69.02	81.79	34.55	42.09
PB.1118.3	24.17	41.71	44.8	46.65
PB.1118.4	27.78	16.65	26.16	17.78
PB.1119.1	6736.27	6077.28	3893.84	3318.61
PB.112.1	760.69	425.16	960.85	864.93
PB.112.2	72.8	29.48	93.54	44.74
PB.112.3	2248.97	2190.94	1347.22	1050.62
PB.112.4	1238.12	967.42	1463.98	1063.71
PB.1120.1	1418.74	434.81	1965.16	1723.46
PB.1120.2	62.08	23.71	23.37	24.16
PB.1120.3	1968.36	1634.14	3410.2	3136.18
PB.1120.4	53.38	27.06	97.14	69.75
PB.1120.5	313.79	66.01	318.65	705.84
PB.1120.6	417.38	85.99	279.63	255
PB.1121.1	74.5	60.71	102.11	64.85
PB.1121.2	561.5	391.29	640.89	542.15
PB.1122.1	2636	1751	1957	1783
PB.1123.1	22178.55	17555.2	14226.26	12813.51
PB.1123.2	202.89	106.36	51.38	214.47
PB.1123.3	912.42	607.61	491.78	648.43
PB.1123.4	19.37	28.03	10.22	10.25
PB.1123.5	2796.57	1583.65	1474.92	1551.6
PB.1123.6	36.8	70.94	67.81	89.92
PB.1123.7	49.4	63.19	46.64	65.82
PB.1124.1	1077.18	885.48	1028.35	1362.67
PB.1124.2	132.32	110.67	116.04	58.19
PB.1124.3	147.53	110.89	268.25	186.88
PB.1124.4	129.68	34.34	76.44	74.19
PB.1124.5	70.28	27.61	392.93	291.08
PB.1125.1	100	50	178	160
PB.1126.1	303.26	148.79	1178.86	827.46
PB.1126.2	605.74	208.21	4171.14	3501.54
