NSC	NSC	OLD	OLD
PB.2340.1	89013.17	53732.13	28229.94	27366.59
PB.2340.2	999.84	659.75	574.24	495.98
PB.2340.3	322.42	213.44	166.62	68.2
PB.2340.4	1122.73	186.08	415	307
PB.2340.5	385.97	354.15	159.26	194.73
PB.2340.6	18.88	37.44	54.93	45.5
PB.2341.1	71	76	65	52
PB.2342.1	5297.15	3139.24	13444.62	10677.1
PB.2342.2	2866.85	1567.76	4875.38	5056.9
PB.2343.1	4479.22	2572.11	7679.82	7034.75
PB.2343.2	63.78	45.89	25.18	35.25
PB.2344.1	1051.08	752.37	543.59	513.78
PB.2344.2	164.92	136.63	81.41	66.22
PB.2345.1	4937	3520	2651	2358
PB.2346.1	288.61	378.6	696.11	527.33
PB.2346.2	840.39	959.4	1818.89	1647.67
PB.2347.1	195	160	161	131
PB.2348.1	1458	1041	354	347
PB.2349.1	2198.51	798.87	1883.88	1311.41
PB.2349.2	1204.49	741.13	787.12	1032.59
PB.235.1	11433.62	6394.88	6987.76	7788.37
PB.235.2	531.18	639.85	264.17	145.68
PB.235.3	6838.81	4054.69	4171.95	3302.65
PB.235.4	526.52	171.16	1170.4	1069.1
PB.235.5	171.8	90.52	55.68	55.26
PB.235.6	31.07	15.89	68.04	47.94
PB.2350.1	3	8	3	4
PB.2351.1	153	113	146	155
PB.2352.1	1564	739	1277	1131
PB.2353.1	10678.77	5886.63	12201.75	11860.56
PB.2353.2	140.71	123.59	390.59	217
PB.2353.3	34.52	33.78	75.67	46.44
PB.2354.1	2191.49	1674.74	977.21	872.78
PB.2354.2	5516.51	3664.26	1336.79	1395.22
PB.2355.1	4664.59	4359.03	4723.44	2450.45
PB.2355.2	53989.73	32814.15	33205.1	28659.6
PB.2355.3	11428.53	5708.44	7650.53	5970.44
PB.2355.4	1632.18	937.55	563.03	914.81
PB.2355.5	6518.38	5586.33	5782.14	3508.6
PB.2355.6	384.58	265.5	489.76	216.11
PB.2356.1	14686	9903	8721	8058
PB.2357.1	11298.29	14259.84	6808.37	6656.82
PB.2357.2	88.48	128.41	40.95	42.72
PB.2357.3	1343.29	587.09	748.87	448.91
PB.2357.4	4229.25	1762.61	858.5	610.34
PB.2357.5	276.7	200.05	34.31	48.21
PB.2358.1	11.78	4.94	46.34	5.25
PB.2358.2	745.22	454.06	706.66	597.75
PB.2359.1	1735	1651	1099	1089
PB.236.1	85227.04	55610.57	46803.43	49672.49
PB.236.2	13.09	14.08	12.77	30.02
PB.236.3	7.34	8.78	9.72	3.72
PB.236.4	35923.86	36977.95	33502.98	30333.42
PB.236.5	1123.27	837.28	1373.42	1089.85
PB.236.6	27000.4	21472.33	8684.68	8512.49
PB.2360.1	38363.65	13921.44	6512.42	5500.85
PB.2360.2	1541.35	582.56	233.58	161.15
PB.2361.1	1787.1	1337.87	1619.62	1273.19
PB.2361.10	29.15	60.19	23.26	24.39
PB.2361.11	153.44	74.28	686.82	163.35
PB.2361.12	4412.38	1903.92	2087.65	2144.74
PB.2361.13	2754.56	2069.93	2748.3	2131.56
PB.2361.2	949.9	269.14	165.59	631.35
PB.2361.3	60.03	165.31	50.91	38.05
PB.2361.4	7.29	20.41	8.3	6.95
PB.2361.5	6717.08	2510.05	2553.92	1949.75
PB.2361.6	13256.91	8147.3	9072.65	7376.67
PB.2361.7	796.01	107.53	102.82	248.53
PB.2361.8	1812.53	883.79	495.83	570.97
PB.2361.9	24.62	52.29	37.32	40.52
PB.2362.1	5502.5	4371.37	6513.99	6295.24
PB.2362.2	371.39	171.41	813.12	318.75
PB.2362.3	881.11	502.21	275.89	528
PB.2363.1	4107.84	3157.94	2373.3	1768
PB.2363.2	2033.99	1431.5	421.31	815.53
PB.2363.3	202.01	108.57	117.57	65.12
PB.2363.4	32.16	24.99	19.81	19.34
PB.2364.1	857.08	1217.57	644.37	481.1
PB.2364.2	175.92	70.43	36.63	120.9
PB.2365.1	410.73	380.81	847.29	795.46
PB.2365.2	1622.29	477.31	1494.06	1072.21
PB.2365.3	88.8	59.25	44.48	61.79
PB.2366.1	326	205	303	197
PB.2367.1	1100	552.09	778.78	787.81
PB.2367.2	773.26	765.79	709.63	750.66
PB.2367.3	224.93	178.76	421.76	430.08
PB.2368.1	288	394	1937	1705
PB.2369.1	17212.9	10694.04	7979.25	6714.68
PB.2369.2	607.79	82.01	264.33	229.07
PB.2369.3	4611.31	3615.95	2070.42	2209.26
PB.237.1	1654.88	1334.72	1180.23	1112.77
PB.237.2	1058.12	697.28	996.77	791.23
PB.2370.1	5980	2989	6130	5756
PB.2371.1	1473.2	1139.46	651.41	242.88
PB.2371.2	2618.93	1260.26	656.52	857.74
PB.2371.3	57.87	28.28	49.07	149.38
PB.2372.1	563.19	581.51	251.39	224.84
PB.2372.2	4804.81	3569.49	1838.61	1650.16
PB.2373.1	678	520	522	500
PB.2374.1	9.23	3.32	120.5	49.91
PB.2374.2	3018.08	1646.16	3376.77	3580.84
PB.2374.3	14.16	4.93	319.12	286.06
PB.2374.4	1039.53	757.58	906.62	452.19
PB.2375.1	644	410	234	224
PB.2376.1	26693	15750	14152	12202
PB.2377.1	2496.77	1757.86	1290.87	1493.58
PB.2378.1	3684	3159	884	811
PB.2379.1	2037	1840	1864	1946
PB.238.1	1457.46	875.42	1193.37	1072.04
PB.238.2	8.54	9.58	7.63	11.96
PB.2380.1	665	590	286	282
PB.2381.1	58.19	112.71	116.84	92.36
PB.2381.2	337.61	242.18	235.44	122.32
PB.2381.3	1049.2	1122.11	516.72	606.33
PB.2382.1	1339	1075	576	497
PB.2383.1	1134.57	794.37	391.04	258.01
PB.2383.2	1309.43	774.63	219.96	241.99
PB.2384.1	2379	1504	4953	4067
PB.2385.1	1690	981	694	548
PB.2386.1	9.93	6.65	10.13	16.08
PB.2387.1	1117.76	534.21	888.69	857.77
PB.2387.2	949.44	433.51	1162.16	940.67
PB.2387.3	74.5	239.04	57.06	158.65
PB.2387.4	1314.84	1279.8	2002.71	1709.83
PB.2387.5	815.53	537.79	955.25	916.01
PB.2388.1	2447.36	2024.21	325.46	274.75
PB.2388.2	8.64	5.79	10.54	7.25
PB.2389.1	439	318	904	764
PB.239.1	3184.81	2167.89	2244.58	2163.2
PB.239.2	4494.56	2601.2	1930.02	1869.55
PB.239.3	393.64	208.92	210.4	194.25
PB.2390.1	462	381	813	620
PB.2391.1	675	630	389	410
PB.2392.1	950	945	1247	1077
PB.2393.1	23327.06	17136.56	11017.37	9235.23
PB.2393.2	3.22	3.18	4.58	3.57
PB.2393.3	7989.72	4898.26	3826.05	3584.21
PB.2394.1	1158.11	1050.4	1134.67	929.08
PB.2394.2	247.89	257.6	159.33	162.92
PB.2395.1	465.17	345.13	445.98	388.93
PB.2395.2	6221.78	3547	2024.97	1924.68
PB.2395.3	359.05	479.88	257.05	339.39
PB.2396.1	358	185	402	283
PB.2397.1	10424.81	7064.38	1797.88	1284.89
PB.2397.2	5296.19	3513.62	2369.12	2042.11
PB.2398.1	1182.85	697.75	339.36	358.46
PB.2398.10	14.19	15.02	21.48	16.52
PB.2398.11	2122.13	1107.64	507.86	474.86
PB.2398.12	2173.53	1424.91	887.64	1025.9
PB.2398.13	42.08	22.56	34.24	20.52
PB.2398.14	201.61	140	99.21	33.74
PB.2398.15	235.12	89.31	77.74	50.24
PB.2398.2	671.81	388.15	165.94	293.81
PB.2398.3	436.42	178.64	151.06	171.55
PB.2398.4	20.31	14.52	16.31	19
PB.2398.5	40.79	54.53	49.9	69.57
PB.2398.6	84.58	58.33	65.13	61.74
PB.2398.7	21.97	26.23	39.93	33.04
PB.2398.8	17.52	14.94	26.57	23.4
PB.2398.9	671.1	506.47	1386.63	864.66
PB.2399.1	946	663	387	367
PB.24.1	2436.18	1808.63	3099.42	2481.29
PB.24.2	580.54	426.72	345.72	370.58
PB.24.3	131.28	258.65	102.85	164.13
PB.240.1	4531.58	2992.6	1220.99	1129.05
PB.240.2	954.41	607.4	354.01	283.95
PB.2400.1	776.08	556.49	432.89	409.27
PB.2400.2	77.92	58.51	68.11	32.73
PB.2401.1	1012	929	593	594
PB.2402.1	1177	929	818	783
PB.2403.1	1086.02	11.55	80.61	60.91
PB.2403.2	4000.98	14.45	579.39	550.09
PB.2404.1	915	641	468	512
PB.2405.1	1644	791	289	240
PB.2406.1	1583.39	1074.12	2420.29	1754.37
PB.2406.2	3735.74	2591.16	4362.64	4526.47
PB.2406.3	1027.46	504.41	642.23	736.73
PB.2406.4	1211	735	491	473
PB.2407.1	152.41	91.31	101.84	108.43
PB.2408.1	917	604	535	527
PB.2409.1	553.68	237.93	305.89	234.64
PB.2409.2	501.83	394.62	280.13	244.56
PB.2409.3	596.99	419.99	187.33	154.95
PB.2409.4	127.39	229.37	93.1	71.84
PB.2409.5	397.13	135.03	206.83	175.02
PB.2409.6	907.74	332.15	309.81	349.61
PB.2409.7	2642.24	1840.92	1308.91	1264.38
PB.241.1	2343	1713	817	777
PB.2410.1	1206	493	692	667
PB.2411.1	1533	446	129	106
PB.2412.1	1159	1238	1017	945
PB.2413.1	1102	818	11962	9972
PB.2414.1	4713	3346	1583	1512
PB.2415.1	697	255	1325	1135
PB.2416.1	776	159	1761	1558
PB.2417.1	56.19	20.69	17.71	9.51
PB.2417.2	25078.81	15641.31	10393.29	9916.49
PB.2418.1	9076.92	5243.97	4041.59	4143.68
PB.2418.2	982.08	676.03	904.41	1239.32
PB.2419.1	578.62	364	334.02	349.58
PB.2419.2	5769.05	4037.72	2782	2936.53
PB.2419.3	97.68	97.92	96.47	32.56
PB.2419.4	2225.96	1179.92	1004.92	962.15
PB.2419.5	618.69	455.43	561.58	400.17
PB.242.1	1519	592	2584	2621
PB.2420.1	2024	1695	928	883
PB.2421.1	416.82	315.94	204.35	163.62
PB.2421.2	882.18	609.06	631.65	653.38
PB.2422.1	10730.77	6602.62	5283.23	4888.6
PB.2422.2	6737.44	7815.2	4622.51	3754.19
PB.2422.3	31.79	44.19	33.26	61.22
PB.2423.1	2004	1141	6531	6635
PB.2424.1	68	19	991	854
PB.2425.1	852.31	151.25	915.17	678.11
PB.2425.2	5298.86	3981.19	11893.19	10816.04
PB.2425.3	125.84	133.56	72.64	81.85
PB.2426.1	299	176	548	560
PB.2427.1	4196.69	3749.99	2739.78	2647.67
PB.2427.2	1041.31	910.01	442.22	356.33
PB.2428.1	11792	5356	6264	6468
PB.2429.1	1803	929	982	937
PB.243.1	358	180	254	241
PB.2430.1	990.52	791.46	2389.06	2311.66
PB.2430.2	685.71	135.67	245.77	146.26
PB.2431.1	5778.52	4155.2	2717.54	2416.06
PB.2431.2	167.32	248.3	95.67	50.96
PB.2431.3	23.93	6.38	17.96	13.06
PB.2432.1	2926.01	2510.24	2383.09	2047.51
PB.2432.2	16.98	20.75	22.91	29.49
PB.2433.1	2334	1504	1776	1578
PB.2434.1	10278.4	5624.66	5356.59	4886.6
PB.2434.2	2492.6	1414.34	998.41	996.4
PB.2435.1	32	22	3205	2705
PB.2436.1	683	575	233	236
PB.2437.1	2251	895	4410	4449
PB.2438.1	374	289	402	386
PB.2439.1	1259.01	735.58	1990.05	2179.19
PB.2439.2	78.99	34.42	113.95	92.81
PB.244.1	845	733	289	256
PB.2440.1	943	883	827	825
PB.2441.1	717	387	286	233
PB.2442.1	847.39	505.71	834.1	661.88
PB.2443.1	2727.61	1516.29	722.9	820.12
PB.2444.1	1837.56	860.57	1324.52	1285.73
PB.2444.2	35893.44	16535.43	16654.48	17300.27
PB.2445.1	16249.05	8503.22	7585.48	6288.92
PB.2445.2	4689.83	2265.36	1281.29	1416.19
PB.2445.3	1561.21	1013.5	1278.08	1260.12
PB.2445.4	621.91	669.92	151.15	143.76
PB.2446.1	7549	5226	5676	5693
PB.2447.1	3034	1647	6218	5652
PB.2448.1	506	133	796	509
PB.2449.1	2163	1087	1410	1366
PB.245.1	942	696	511	426
PB.2450.1	19	11	47	51
PB.2451.1	5.21	23.46	2242.1	2606.42
PB.2451.2	12.79	4.54	849.9	1101.58
PB.2452.1	17.84	8.6	1879.5	1822.99
PB.2452.2	7.24	7.24	152.9	123.8
PB.2452.3	7.67	9.67	222.02	139.5
PB.2452.4	5.25	6.5	80.59	50.71
PB.2453.1	2453	1195	1754	1471
PB.2454.1	184.03	114.07	405	396.73
PB.2454.2	611.43	185.81	891.33	866.59
PB.2454.3	3525.53	2778.12	1639.67	1732.68
PB.2455.1	1060.82	433.32	193.74	397.75
PB.2455.2	3466.18	1976.68	2230.26	1856.25
PB.2456.1	33171.92	22798.74	17616.03	16793.12
PB.2456.2	474.08	542.26	230.97	283.88
PB.2457.1	310.54	247.47	1339.34	1182.93
PB.2457.2	308.9	167.66	742.35	717.41
PB.2457.3	83.56	48.87	229.31	163.66
PB.2458.1	899.59	411.85	1568.22	1136.92
PB.2458.2	541.43	170.09	444.45	468.55
PB.2458.3	98.31	131.13	175.59	124.38
PB.2458.4	514.8	220.93	243.8	431.04
PB.2458.5	1673.49	711.48	1031.03	540.02
PB.2458.6	1137.74	330.87	1056.13	1736.18
PB.2458.7	80.65	121.66	66.78	82.9
PB.2459.1	5074	2205	2091	2220
PB.246.1	43	30	15	19
PB.2460.1	2370	1843	1205	1057
PB.2461.1	6934	3369	4476	3772
PB.2462.1	10900	6529	5080	4892
PB.2463.1	718.08	325.78	584.31	578.2
PB.2463.2	158.92	104.22	292.69	179.8
PB.2464.1	160356.89	79196.38	58451.19	53836.24
PB.2464.2	370.89	225.29	177.28	148.07
PB.2464.3	498	201.85	147.01	112.02
PB.2464.4	2435.34	1423.3	717.64	747.65
PB.2464.5	515.41	263.78	270.63	200.64
PB.2464.6	925.44	929.35	583.84	375.21
PB.2465.1	1198	790	1465	1615
PB.2466.1	7983.29	4398.91	5086.41	4964
PB.2466.2	261.75	69.77	170.4	156.73
PB.2466.3	23.95	29.32	22.19	37.27
PB.2467.1	3436.23	2379.03	2362.13	2638.29
PB.2467.2	2302.89	930.58	1303.67	784.95
PB.2467.3	780.88	421.39	474.2	411.76
PB.2468.1	5751.22	2590.05	3230.11	2170.85
PB.2468.2	3169.78	1933.95	1978.89	2029.15
PB.2469.1	236.35	114.65	77.88	46.45
PB.2469.2	12.41	21.84	63.08	57.41
PB.2469.3	2025.24	1455.52	1291.05	997.14
PB.247.1	2059	1255	714	612
PB.247.2	581	431	67	48
PB.2470.1	14243	8149	6240	6331
PB.2471.1	3377.31	1883.07	1733.75	1917
PB.2471.2	614.51	338.19	279.88	265.76
PB.2471.3	2554.16	1913.02	1916.06	2043.03
PB.2471.4	704.02	521.72	435.31	379.21
PB.2472.1	216.64	147.62	322.52	231.04
PB.2472.2	572.79	260.07	773.29	591.18
PB.2472.3	12931.57	8660.31	12391.19	11198.78
PB.2473.1	537.88	539.27	976	897.8
PB.2474.1	30.36	14.82	16.36	15.87
PB.2474.2	17198.43	11105.38	10250.03	9368.6
PB.2474.3	5594.66	2970.62	4392.65	3673.65
PB.2474.4	4269.99	5904.35	4247.67	4170.43
PB.2474.5	1683.66	642.2	474.76	349.53
PB.2474.6	36.83	5.1	6.22	4.13
PB.2474.7	17.14	9.81	12.87	10.75
PB.2474.8	24.05	4.45	6.44	4.25
PB.2475.1	875	417.97	665	567
PB.2476.1	38050.17	23624.54	19935.56	19674.23
PB.2476.2	124.83	89.46	182.44	204.77
PB.2477.1	8811.19	6312.36	3441.23	3452.28
PB.2477.2	221.42	110.2	96.96	71.29
PB.2477.3	171.27	254.37	125.55	137.69
PB.2477.4	332.11	275.07	60.26	70.74
PB.2478.1	3180.31	2118.02	1373.92	1438.79
PB.2478.2	3247.54	2017.24	1593.82	1343.45
PB.2478.3	1480.29	1213.9	372.4	135.53
PB.2478.4	8.87	11.84	19.87	29.23
PB.2479.1	92083.82	42252.78	83505.52	80630.89
PB.2479.2	6089.15	2125.49	3592.78	3205.13
PB.2479.3	884.39	896	1183.91	2827.1
PB.2479.4	896.31	727.24	523.52	498.43
PB.2479.5	75.74	58.64	49.71	108.12
PB.2479.6	29.26	25.44	32.47	24.55
PB.2479.7	121.27	101.03	181.48	158.57
PB.2479.8	5344.39	2522.84	2840.49	3789.95
PB.2479.9	58.86	34.87	16.03	13.99
PB.248.1	957.34	695.14	854.7	907.86
PB.248.2	63.3	6.62	28.52	8.16
PB.248.3	16.36	12.24	15.78	28.98
PB.2480.1	1497.81	1044.67	2709.1	2492.27
PB.2481.1	1888	840	6467	5248
PB.2482.1	33012	16177	18386	19690
PB.2483.1	48.8	13.63	51.26	60.72
PB.2484.1	1004	690	857	796
PB.2485.1	187.81	110.55	209.78	131.04
PB.2485.2	6797.39	3941.83	3303.96	3217.24
PB.2486.1	25561	16330	10096	10701
PB.2487.1	1298.92	899	672.59	695.79
PB.2487.2	408.31	248.87	184.83	113.16
PB.2487.3	641.76	450.13	342.58	257.05
PB.2488.1	3036.38	1760.33	1060.59	915.16
PB.2488.2	1930.62	885.67	1068.41	778.84
PB.2489.1	750.06	699.98	422.92	323.51
PB.2489.2	55.34	49.33	166.28	181.99
PB.2489.3	1489.6	1080.7	460.8	408.5
PB.249.1	85.28	124.27	219.97	152.74
PB.249.2	328.34	374.32	375.54	346.84
PB.249.3	474	398	272	286
PB.2490.1	2766.55	1032.56	5657.93	5610.44
PB.2490.2	518.45	420.44	936.07	686.56
PB.2491.1	57.84	49.58	290.44	277.96
PB.2492.1	12.4	14.2	192.31	248.43
PB.2492.2	8.69	7.29	129.65	85.23
PB.2492.3	73.89	27.94	14844.06	12899.4
PB.2492.4	11.45	10.24	333.16	284.09
PB.2492.5	14.18	7.51	579.63	451.18
PB.2492.6	9.39	3.83	18.18	12.67
PB.2493.1	16	15	499	584
PB.2494.1	1356.49	548.59	3433.85	3402.13
PB.2494.2	238.79	126.48	571.28	451.04
PB.2495.1	1649.25	844.23	819.34	1121.65
PB.2495.2	2616.47	1562.7	2108.53	1861.18
PB.2496.1	6949.75	5077.08	3622.11	2650.85
PB.2496.2	4134.08	3483.45	4610.76	4103.92
PB.2496.3	10654.17	7209.47	4577.12	5317.23
PB.2497.1	40657.9	25450.91	68104.07	58970.22
PB.2497.2	39.02	28.03	209.74	169.08
PB.2497.3	129.09	164.07	2573.19	2416.7
PB.2498.1	2679	1417	1663	1517
PB.2499.1	1155.57	619.2	1148.65	1183.33
PB.2499.2	1615.34	762.56	1311.84	1038.96
PB.2499.3	371.58	263.95	653.87	835.7
PB.2499.4	208.34	69.66	717.21	340.1
PB.2499.5	150.18	322.64	75.43	131.91
PB.25.1	12875	10313	7965	7550
PB.250.1	1428.38	1373.41	946.49	1099.41
PB.2500.1	4753	3557	4046	3830
PB.2501.1	1748	1213	1149	963
PB.2502.1	2887	1436	1845	1553
PB.2503.1	535	475	498	452
PB.2504.1	364.48	246.88	200.19	146.28
PB.2504.2	292.52	203.12	529.81	404.72
PB.2505.1	933	913	292	292
PB.2506.1	101	87	181	153
PB.2507.1	129.18	28.45	60.68	55.91
PB.2507.2	1806.93	850.9	880.05	807.01
PB.2507.3	98.88	99.65	88.27	96.08
PB.2508.1	9	25	114	111
PB.2509.1	726	494	28	26
PB.251.1	412	306	648	551
PB.2510.1	21481	14424	21441	18786
PB.2511.1	351	282	688	699
PB.2512.1	97	94	501	380
PB.2513.1	7768.08	5961.64	1824.45	858.5
PB.2513.2	3292.92	2741.36	1084.55	1907.5
PB.2514.1	156.31	148.03	121.46	81.76
PB.2514.2	2229.69	1734.97	1382.54	1404.24
PB.2515.1	1152	570	812	699
PB.2516.1	871.3	535.67	28.98	110.61
PB.2516.2	683.53	626.38	168.96	89.07
PB.2517.1	1645	1233	1661	1489
PB.2518.1	177.6	188.28	1250.42	1205.39
PB.2518.2	2300.27	1193.98	5831.72	5629.13
PB.2518.3	510.6	207.31	867.76	252.25
PB.2518.4	145.96	37.99	99.14	63.08
PB.2518.5	468.86	386.38	4455.12	5511.34
PB.2518.6	43.35	40.81	21.63	40.3
PB.2518.7	1241.36	584.21	4814.53	3618.47
PB.2518.8	3851.01	1385.04	9164.67	4604.04
PB.2519.1	770	451	487	450
PB.252.1	2504	1550	8304	7730
PB.2520.1	2643.28	1492.36	3082.32	2527.36
PB.2520.2	2912.38	2162.67	2472.95	2254.2
PB.2520.3	566.67	391.75	708.03	571.38
PB.2521.1	969.66	506.22	1232.7	870.06
PB.2522.1	2353.98	1555.82	1877.74	1917.65
PB.2522.2	1591.62	1089.1	812.86	955.54
PB.2522.3	282.52	271.6	196.25	137.52
PB.2522.4	1106.89	523.48	527.16	341.29
PB.2523.1	729.77	604.19	605.63	453.18
PB.2523.2	6022.93	3507.29	2803.06	2402.15
PB.2523.3	2964.86	774.67	1755.62	1745.95
PB.2523.4	2137.55	2100.53	915.45	1057.38
PB.2523.5	6316.89	2332.31	1504.24	1065.35
PB.2524.1	1115	411	1522	1512
PB.2525.1	2079.22	1951.63	1321.55	1211.91
PB.2525.2	706.57	152.09	239.11	207.05
PB.2525.3	651.21	413.28	1072.34	836.04
PB.2526.1	2929	2256	1170	1003
PB.2527.1	2243.57	1620.73	2391.38	2208.98
PB.2527.2	18.79	11.89	21.67	21.48
PB.2527.3	1922.18	1096.88	2188.52	1864.54
PB.2527.4	287.53	401.56	302.5	245.09
PB.2528.1	275	223	451	374
PB.2529.1	723	325	750	770
PB.253.1	549.35	644.37	254.56	487.54
PB.253.2	1628.65	1044.63	1492.44	946.46
PB.2530.1	1219.19	1057.59	5692.46	4974.63
PB.2530.2	1690.57	1356.4	506.43	368.84
PB.2530.3	3572.29	5958.17	331.12	732.49
PB.2530.4	201.95	215.84	616.98	544.04
PB.2531.1	1901	1496	271	317
PB.2532.1	2824.13	2001.55	1699.49	1331.39
PB.2532.2	574.87	447.45	505.51	426.61
PB.2533.1	1002.52	691.95	290.64	367.14
PB.2533.2	2502.83	1402.02	1822.22	1402.67
PB.2533.3	4750.65	3956.04	1445.13	1472.2
PB.2534.1	1532	839	424	378
PB.2535.1	450	242	1661	1483
PB.2536.1	4.87	1.79	6.5	6.12
PB.2536.2	6198.51	3165.64	6291.79	4381.44
PB.2536.3	27623.87	22337.31	21323.38	23199.19
PB.2536.4	1.76	0.26	0.34	0.25
PB.2537.1	2052.77	1284.42	543.49	346.96
PB.2537.2	3306.21	1874.17	205.44	206.18
PB.2537.3	47.02	35.41	6.07	2.86
PB.2538.1	116	69	84	88
PB.2539.1	719.49	556.94	915.55	776.69
PB.2539.2	10329.51	7210.06	5328.45	5007.31
PB.254.1	292.03	482.42	1810.31	1808.92
PB.254.2	582.97	538.58	3362.69	3299.08
PB.2540.1	1968	1422	580	570
PB.2541.1	3561.98	2476.4	2024.67	1801.8
PB.2541.2	2312.39	871.56	2146.68	1859.39
PB.2541.3	2200.3	1045.88	1067.41	639.94
PB.2541.4	34.33	40.16	47.24	27.87
PB.2542.1	2983.36	2050.16	347.81	420.74
PB.2543.1	1218.58	798.22	541.56	486.94
PB.2543.2	306.82	144.96	97.75	157.49
PB.2543.3	4016.17	2134.47	982.76	866.51
PB.2543.4	1376.07	651.19	619.13	288.32
PB.2544.1	3879	2706	3292	2647
PB.2545.1	1049	817	952	762
PB.2546.1	4687	2508	9658	9286
PB.2547.1	3873.45	2164.03	4328.11	4651.17
PB.2547.2	72.86	45.33	32.81	25.5
PB.2547.3	69.92	40.44	35.01	43.89
PB.2547.4	235.43	218.92	454.51	500.63
PB.2547.5	846.34	548.28	1315.57	1243.81
PB.2548.1	1548.95	1064.15	445.24	474.64
PB.2548.2	933.86	659.75	334.76	252.05
PB.2548.3	73.19	63.1	36.01	14.31
PB.2549.1	116.16	54.3	213.22	221.72
PB.2549.2	462.34	221.19	2007.51	1905.79
PB.2549.3	2119.56	662.36	5997.72	5489.35
PB.2549.4	189.86	58.1	181.68	181.01
PB.2549.5	3025.25	1163.25	9645.89	8504.1
PB.2549.6	1422.95	457.77	1322.37	1247.87
PB.2549.7	808.08	554.41	1967.53	2220.52
PB.2549.8	6184.8	1850.62	13849.08	13662.65
PB.255.1	18976.65	17070.17	13976.56	13223.74
PB.255.2	947.35	618.83	335.44	766.26
PB.2550.1	5764	3127	7355	6711
PB.2551.1	1456.18	505.72	397.98	447.65
PB.2551.2	125.82	56.28	102.02	102.35
PB.2552.1	0	4	0	0
PB.2553.1	3730.53	3150.04	2882.49	2688.43
PB.2553.2	251.55	131.78	201.87	147.99
PB.2553.3	248.91	95.19	144.65	112.58
PB.2554.1	4111	2651	2376	2346
PB.2555.1	259.03	270	169	156
PB.2556.1	751.92	643.41	1183.42	1000.85
PB.2556.2	3792.08	2670.59	2492.58	2950.15
PB.2557.1	246.72	221.24	151.02	145.67
PB.2557.2	24.3	18.74	32.52	43.49
PB.2557.3	13625.98	9585.02	11559.46	11751.84
PB.2558.1	100883.43	54719.18	26940.99	23251.76
PB.2558.2	40819.27	20166.02	2711.43	4833.86
PB.2558.3	63708.21	48213.93	66882.9	53593.5
PB.2558.4	6415.52	5198.71	15585.2	8376.98
PB.2558.5	57060.83	24282.02	25960.92	24672.06
PB.2558.6	15306.78	9104.97	22475.84	8211.17
PB.2558.7	384495.62	204970.73	159728.37	169415.86
PB.2558.8	203276.91	113330.73	78355.2	91748.15
PB.2559.1	13785.01	5719.63	11493.94	9735.78
PB.256.1	5094	4059	3239	2918
PB.2560.1	1497	1198	466	409
PB.2561.1	5103.97	2816.14	2568.53	2189.67
PB.2561.2	886.03	905.86	144.47	140.33
PB.2562.1	8.61	7.92	15.51	10.37
PB.2562.10	1094.44	829.32	6019.62	5623.77
PB.2562.11	162.54	115.88	531.44	503.2
PB.2562.2	10.46	10.78	18.6	18.7
PB.2562.3	175257.7	106263.28	241898.94	251919.76
PB.2562.4	1195.57	1708.74	576.29	3237.06
PB.2562.5	1980.17	486.06	3013.24	3196.67
PB.2562.6	269.37	254.33	281.96	292.32
PB.2562.7	106.44	121.26	202.5	267.75
PB.2562.8	226.42	35.21	370.75	121.16
PB.2562.9	58.27	109.23	54.14	244.24
PB.2563.1	8420.02	6627.4	419.55	385.05
PB.2563.2	858.27	528.95	42.89	69.28
PB.2563.3	1315.71	564.65	135.56	66.66
PB.2564.1	863	706	415	367
PB.2565.1	581.48	740.85	17113.92	13005.07
PB.2565.2	165.52	381.15	10108.09	10835.93
PB.2566.1	315.38	420.55	1068.53	942.51
PB.2566.2	1166.62	847.45	485.47	502.49
PB.2567.1	719.2	531.08	901.39	890.14
PB.2567.2	2928.8	2902.92	1587.61	1138.86
PB.2568.1	5961	3871	2639	2380
PB.2569.1	2053	1448	821	807
PB.257.1	634.26	228.4	219.93	151.31
PB.257.2	5196.07	3070.7	2948.53	2881.12
PB.257.3	1327.84	1228.9	1007.54	831.57
PB.2570.1	385	251	169	147
PB.2571.1	14.38	6.11	67.28	15.57
PB.2571.2	595.62	247.89	3124.72	2656.43
PB.2572.1	91.1	181.06	92.77	128.92
PB.2572.2	2589.87	315.43	2554.49	2206.33
PB.2572.3	643.72	836.27	1379.12	1548.7
PB.2572.4	27.26	64.3	32.04	180.74
PB.2572.5	11.03	14.06	28.79	26.31
PB.2572.6	1360.01	1485.87	2644.78	2572
PB.2573.1	5819.27	3010.24	8993.39	8714.11
PB.2573.2	645.73	368.76	559.61	455.89
PB.2574.1	1244	1069	602	660
PB.2575.1	48744.6	29061.14	43715.46	43854.53
PB.2575.2	174.72	104.95	119.87	72.65
PB.2575.3	348.47	141.45	337.71	151.78
PB.2575.4	494.2	349.46	727.96	577.04
PB.2576.1	7	6	24	20
PB.2577.1	1125	892	1164	960
PB.2578.1	3538	2395	3033	3062
PB.2579.1	27814.73	13932.77	8723.14	7884.17
PB.2579.2	9.27	13.23	12.87	12.83
PB.258.1	11431	5711	5145	4094
PB.2580.1	140.29	45.38	74.83	225.95
PB.2580.2	22.12	22.46	19.46	21.04
PB.2580.3	2470.59	1290.16	5732.72	5634.01
