pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.6038.2	1	3	4.5	1.74282218682e-06	5.22846656047e-06	7.84269984071e-06
PB.2567.2	14	15	18.0	2.43995106155e-05	2.61423328024e-05	3.13707993628e-05
PB.5253.1	0	3	5.66666666667	0.0	5.22846656047e-06	9.875992392e-06
PB.6285.2	24	24	27.1666666667	4.18277324838e-05	4.18277324838e-05	4.73466694087e-05
PB.6285.3	0	0	2.33333333333	0.0	0.0	4.06658510259e-06
PB.5058.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
PB.3476.2	1	1	11.2666666667	1.74282218682e-06	1.74282218682e-06	1.96357966382e-05
PB.6285.4	1	1	1.83333333333	1.74282218682e-06	1.74282218682e-06	3.19517400918e-06
PB.6285.5	1	11	11.8333333333	1.74282218682e-06	1.91710440551e-05	2.06233958774e-05
PB.80.1	0	0	0.666666666667	0.0	0.0	1.16188145788e-06
PB.7207.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.5689.3	0	0	0.333333333333	0.0	0.0	5.80940728941e-07
PB.3806.1	7	10	10	1.21997553078e-05	1.74282218682e-05	1.74282218682e-05
PB.5689.1	9	14	14.3333333333	1.56853996814e-05	2.43995106155e-05	2.49804513445e-05
PB.3806.3	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.3479.5	0	0	0.5	0.0	0.0	8.71411093412e-07
PB.4465.1	0	0	23.1666666667	0.0	0.0	4.03753806614e-05
PB.4693.4	2	2	2.33333333333	3.48564437365e-06	3.48564437365e-06	4.06658510259e-06
PB.4693.1	36	50	51.8333333333	6.27415987256e-05	8.71411093412e-05	9.03362833504e-05
PB.4693.3	0	0	1.33333333333	0.0	0.0	2.32376291576e-06
PB.4693.2	1	1	1.5	1.74282218682e-06	1.74282218682e-06	2.61423328024e-06
PB.5870.1	0	4	5.0	0.0	6.97128874729e-06	8.71411093412e-06
PB.5555.2	7	11	13.0666666667	1.21997553078e-05	1.91710440551e-05	2.27728765745e-05
PB.2084.1	78	120	120	0.000135940130572	0.000209138662419	0.000209138662419
PB.216.1	1	3	3	1.74282218682e-06	5.22846656047e-06	5.22846656047e-06
PB.4294.4	7	7	15.8333333333	1.21997553078e-05	1.21997553078e-05	2.75946846247e-05
PB.3712.1	26	37	40.5	4.53133768574e-05	6.44844209125e-05	7.05842985664e-05
PB.3712.2	3	3	6.5	5.22846656047e-06	5.22846656047e-06	1.13283442144e-05
PB.4740.1	0	0	0.333333333333	0.0	0.0	5.80940728941e-07
PB.4740.2	3	3	3.33333333333	5.22846656047e-06	5.22846656047e-06	5.80940728941e-06
PB.2109.1	2	4	4.5	3.48564437365e-06	6.97128874729e-06	7.84269984071e-06
PB.2070.5	1	4	14.9333333333	1.74282218682e-06	6.97128874729e-06	2.60261446566e-05
PB.856.2	0	3	3.5	0.0	5.22846656047e-06	6.09987765388e-06
PB.856.1	3	8	8.5	5.22846656047e-06	1.39425774946e-05	1.4813988588e-05
PB.788.1	1	6	6	1.74282218682e-06	1.04569331209e-05	1.04569331209e-05
PB.2577.1	1	1	1	1.74282218682e-06	1.74282218682e-06	1.74282218682e-06
PB.7551.1	287	446	449.041666667	0.000500189967618	0.000777298695323	0.000782599779475
PB.6852.1	1	3	3	1.74282218682e-06	5.22846656047e-06	5.22846656047e-06
PB.5171.1	6	11	11.25	1.04569331209e-05	1.91710440551e-05	1.96067496018e-05
PB.7275.1	9	15	15	1.56853996814e-05	2.61423328024e-05	2.61423328024e-05
PB.6211.1	5	7	7	8.71411093412e-06	1.21997553078e-05	1.21997553078e-05
PB.6101.5	0	23	37.0	0.0	4.00849102969e-05	6.44844209125e-05
PB.3794.1	2	5	5.33333333333	3.48564437365e-06	8.71411093412e-06	9.29505166306e-06
PB.4447.1	0	0	1.75	0.0	0.0	3.04993882694e-06
PB.5143.2	0	0	1.16666666667	0.0	0.0	2.03329255129e-06
PB.5143.3	1	2	6.66666666667	1.74282218682e-06	3.48564437365e-06	1.16188145788e-05
PB.5143.1	17	29	34.1666666667	2.9627977176e-05	5.05418434179e-05	5.95464247165e-05
PB.3627.1	27	28	32.1666666667	4.70561990442e-05	4.87990212311e-05	5.60607803428e-05
PB.7484.2	0	4	13.5	0.0	6.97128874729e-06	2.35280995221e-05
PB.7012.1	4	12	12	6.97128874729e-06	2.09138662419e-05	2.09138662419e-05
PB.3627.2	1	1	4.16666666667	1.74282218682e-06	1.74282218682e-06	7.26175911176e-06
PB.7816.1	4	5	5.5	6.97128874729e-06	8.71411093412e-06	9.58552202753e-06
PB.262.3	0	0	0.5	0.0	0.0	8.71411093412e-07
PB.7484.1	37	63	72.5	6.44844209125e-05	0.00010979779777	0.000126354608545
PB.654.2	3	3	5.0	5.22846656047e-06	5.22846656047e-06	8.71411093412e-06
PB.1164.1	12	16	16	2.09138662419e-05	2.78851549892e-05	2.78851549892e-05
PB.3776.1	2	4	4	3.48564437365e-06	6.97128874729e-06	6.97128874729e-06
PB.957.3	1	4	5.16666666667	1.74282218682e-06	6.97128874729e-06	9.00458129859e-06
PB.957.2	1	1	1.66666666667	1.74282218682e-06	1.74282218682e-06	2.90470364471e-06
PB.957.1	18	22	23.1666666667	3.13707993628e-05	3.83420881101e-05	4.03753806614e-05
PB.1917.1	1	3	3.5	1.74282218682e-06	5.22846656047e-06	6.09987765388e-06
PB.4486.1	3	4	4	5.22846656047e-06	6.97128874729e-06	6.97128874729e-06
PB.4683.6	0	0	5.58333333333	0.0	0.0	9.73075720976e-06
PB.5038.1	13	25	28.1666666667	2.26566884287e-05	4.35705546706e-05	4.90894915955e-05
PB.5038.3	1	1	2.5	1.74282218682e-06	1.74282218682e-06	4.35705546706e-06
PB.5038.2	7	12	14.6666666667	1.21997553078e-05	2.09138662419e-05	2.55613920734e-05
PB.5038.4	2	2	4.66666666667	3.48564437365e-06	3.48564437365e-06	8.13317020518e-06
PB.6305.1	29	43	43	5.05418434179e-05	7.49413540334e-05	7.49413540334e-05
PB.5385.2	89	95	112.166666667	0.000155111174627	0.000165568107748	0.000195486555289
PB.2365.1	2	2	3.78333333333	3.48564437365e-06	3.48564437365e-06	6.59367727348e-06
PB.2227.1	0	1	1	0.0	1.74282218682e-06	1.74282218682e-06
PB.2261.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
PB.136.1	2	7	7	3.48564437365e-06	1.21997553078e-05	1.21997553078e-05
PB.341.1	3	4	4	5.22846656047e-06	6.97128874729e-06	6.97128874729e-06
PB.6104.1	1	2	2	1.74282218682e-06	3.48564437365e-06	3.48564437365e-06
